segment_id,start_time_sec,end_time_sec,transcription,topic_tag,reading,filename
22,146.236969,153.713799,ましてや撃墜ができるキャラクターでもちゃんとあるのでピカチュウはあでもちょうどいいタイミングでアシストフィギュアが消えてくれました,アシストフィギュア,ましてやげきついができるきゃらくたーでもちゃんとあるのでぴかちゅーわあでもちょうどいーたいみんぐであしすとふぃぎゅあがきえてくれました,MF21output_id22_delay0.5.mp4
5,31.893603,35.925849,プレイヤー1がですね今ちょっとプレイヤー2をかなり,対戦風景,ぷれーやーわんがですねいまちょっとぷれーやーつーをかなり,MM2output_id5_delay0.5.mp4
23,162.063099,170.271832,またサドンデスになりましたね結構この二人いい戦いをされ,対戦風景,またさどんですになりましたねけっこーこのふたりいーたたかいをされ,MF22output_id23_delay0.75.mp4
23,154.328093,155.855051,おっとも時間がないですよ,対戦風景,おっともじかんがないですよ,MF21output_id23_delay0.75.mp4
31,170.799312,175.56594,リドリーの横スマッシュが炸裂いやー尻尾でね一撃食らわしましたすごい,対戦風景,りどりーのよこすまっしゅがさくれついやーしっぽでねいちげきくらわしましたすごい,MM2output_id31_delay1.0.mp4
22,156.13577,160.720254,クラウドにとって不利な戦いになってしまいましたね,対戦風景,くらうどにとってふりなたたかいになってしまいましたね,MF23output_id22_delay1.0.mp4
20,99.392085,104.72199,はいはいはいドラゴンの火火とね波状攻撃を仕掛けている Wii Fit トレーナー,ファイター,はいはいはいどらごんのひひとねはじょーこーげきをしかけているうぃーふぃっととれーなー,FF4output_id20_delay1.25.mp4
20,141.467742,148.485668,なのでその特性をうまく活かされてちゃんと地上に降りられるところまで時間を稼がれてしまったというのが非常に痛かったですね,対戦風景,なのでそのとくせーをうまくいかされてちゃんとちじょーにおりられるところまでじかんをかせがれてしまったとゆーのがひじょーにいたかったですね,MF24output_id20_delay1.25.mp4
10,59.299225,66.756979,大体昔は同じだったんですけどもねはいルイージの方が一発が強いというか癖の強いキャラクターになってますね,ファイター,だいたいむかしわおなじだったんですけどもねはいるいーじのほーがいっぱつがつよいとゆーかくせのつよいきゃらくたーになってますね,MF11output_id10_delay1.5.mp4
22,146.236969,153.713799,ましてや撃墜ができるキャラクターでもちゃんとあるのでピカチュウはあでもちょうどいいタイミングでアシストフィギュアが消えてくれました,アシストフィギュア,ましてやげきついができるきゃらくたーでもちゃんとあるのでぴかちゅーわあでもちょうどいーたいみんぐであしすとふぃぎゅあがきえてくれました,MF21output_id22_delay1.5.mp4
25,137.188348,140.699765,ドンキーコングはあれですねあんまりガードを使わないですね,対戦風景,どんきーこんぐわあれですねあんまりがーどをつかわないですね,MF12output_id25_delay1.75.mp4
4,17.205383,22.357492,さあさあさあさあさあなかなかね今回もあのゲームスピードが速いですから,対戦風景,さーさーさーさーさーなかなかねこんかいもあのげーむすぴーどがはやいですから,MM1output_id4_delay1.75.mp4
26,140.566803,144.314681,さあここでただリドリーは戻って来れませんでした,対戦風景,さーここでただりどりーわもどってこれませんでした,MM2output_id26_delay-1.5.mp4
35,140.22573,142.763986,降りてくるところを狙ってますねはい,対戦風景,おりてくるところをねらってますねはい,FF1output_id35_delay-1.5.mp4
21,141.234865,145.605124,このアシストフィギュアは結構積極的に攻撃をしてくるので,アシストフィギュア,このあしすとふぃぎゅあわけっこーせっきょくてきにこーげきをしてくるので,MF21output_id21_delay-1.25.mp4
26,151.585612,159.41278,ここで光線銃のビームを食らってしまったこれでガオガエンが一本取り返したということで,アイテム,ここでこーせんじゅーのびーむをくらってしまったこれでがおがえんがいっぽんとりかえしたとゆーことで,MM3output_id26_delay-1.25.mp4
28,137.325188,138.857342,ステッキでましたね,アイテム,すてっきでましたね,FF2output_id28_delay-1.0.mp4
18,74.249187,77.07235,もう残り時間1分半きたとこでスマッシュボールでました,アイテム,もーのこりじかんいっぷんはんきたとこですまっしゅぼーるでました,FF1output_id18_delay-1.0.mp4
6,27.788585,33.960481,教授ですね教授出しました数字で攻撃する教授を出しましたさあこれモンスターボールが出てるモンスターボール取りたいところ,アイテム,きょーじゅですねきょーじゅだしましたすーじでこーげきするきょーじゅをだしましたさーこれもんすたーぼーるがでてるもんすたーぼーるとりたいところ,MM3output_id6_delay-0.75.mp4
28,152.354004,156.072704,今回ですあー残りこれフォックス勝利かな,対戦結果,こんかいですあーのこりこれふぉっくすしょーりかな,FF3output_id28_delay-0.75.mp4
7,64.078573,69.112709,さてマリオが結構アイテムにまた翻弄されてしまっていますね,アイテム,さてまりおがけっこーあいてむにまたほんろーされてしまっていますね,MF24output_id7_delay-0.5.mp4
31,160.522552,162.739792,これ圧勝じゃないすかね Wii Fit トレーナーの,対戦結果,これあっしょーじゃないすかねうぃーふぃっととれーなーの,FF4output_id31_delay-0.5.mp4
32,128.822075,131.064325,おーっと,対戦風景,おーっと,FF1output_id32_delay0.0.mp4
11,54.91935,61.471581,これちょっと全然接待プレイをする感じがないですねプレイヤーワンさんガチですね,対戦風景,これちょっとぜんぜんせったいぷれーをするかんじがないですねぷれーやーわんさんがちですね,FF4output_id11_delay0.0.mp4
24,137.309097,140.997124,どっちでしょでもパックマンもうまく横スマッシュ当てていきましたね,対戦風景,どっちでしょでもぱっくまんもうまくよこすまっしゅあてていきましたね,MF14output_id24_delay0.5.mp4
19,132.679336,140.571836,あぁやってデイジーはですね先ほど出たピーチもそうなんですけど空中で上を押し続けると空中に浮遊できるという特性を持っているんですね,ファイター,あーやってでいじーわですねさきほどでたぴーちもそーなんですけどくーちゅーでうえをおしつづけるとくーちゅーにふゆーできるとゆーとくせーをもっているんですね,MF24output_id19_delay0.5.mp4
23,134.211977,137.190638,さあさあさあ上手くね戻ってきますねガオガエン,対戦風景,さーさーさーうまくねもどってきますねがおがえん,MM3output_id23_delay0.75.mp4
29,160.1206,163.496962,サドンデスですさあこれはリンクも,対戦風景,さどんですですさーこれわりんくも,MF12output_id29_delay0.75.mp4
19,77.07235,79.721979,これを取るとね最後の切り札といういわゆる超必殺技,アイテム,これをとるとねさいごのきりふだとゆーいわゆるちょーひっさつわざ,FF1output_id19_delay1.0.mp4
13,105.923274,109.609448,こうなってしまうとクラウドはもうスマッシュ攻撃などで吹っ飛ばしたりとか,対戦風景,こうなってしまうとくらうどわもーすまっしゅこーげきなどでふっとばしたりとか,MF23output_id13_delay1.0.mp4
24,92.213458,97.112367,ただしあの相手もね取ると体力回復できるんでそこだけね注意して使いたいとこでドリル取りましたね,アイテム,ただしあのあいてもねとるとたいりょくかいふくできるんでそこだけねちゅーいしてつかいたいとこでどりるとりましたね,FF1output_id24_delay1.25.mp4
23,154.328093,155.855051,おっとも時間がないですよ,対戦風景,おっともじかんがないですよ,MF21output_id23_delay1.25.mp4
19,92.584018,98.269251,このステージでこれ出すとねめちゃくちゃあの移動の妨げになりますから相当イヤらしいですよ,アイテム,このすてーじでこれだすとねめちゃくちゃあのいどーのさまたげになりますからそーとーいやらしーですよ,FF4output_id19_delay1.5.mp4
31,160.522552,162.739792,これ圧勝じゃないすかね Wii Fit トレーナーの,対戦結果,これあっしょーじゃないすかねうぃーふぃっととれーなーの,FF4output_id31_delay1.5.mp4
24,165.862311,169.145793,そうですねピットの方の戦い方が非常に良かったですね,対戦結果,そーですねぴっとのかたのたたかいかたがひじょーによかったですね,MF23output_id24_delay1.75.mp4
13,66.176111,71.832918,結構ねこのステージはあのスクロールしていくのでもたもたしてると撃墜になっちゃうんですよね,対戦風景,けっこーねこのすてーじわあのすくろーるしていくのでもたもたしてるとげきついになっちゃうんですよね,FF4output_id13_delay1.75.mp4
7,31.833779,38.372444,そうこうしている間に 1P がドンキーコングを撃墜しましたねリンクうまいですね,対戦風景,そーこーしているあいだにいちぴーがどんきーこんぐをげきついしましたねりんくうまいですね,MF12output_id7_delay-1.5.mp4
28,163.971985,168.371778,これはリトルああ横 B ですね横必殺,対戦風景,これわりとるあーよこびーですねよこひっさつ,MM3output_id28_delay-1.5.mp4
23,161.988244,171.715217,いいですね今回デイジーが途中でもう140とか130とかいったあたりからもういつ飛ばされてもおかしくない状態だったんですけど,対戦風景,いーですねこんかいでいじーがとちゅーでもーひゃくよんじゅーとかひゃくさんじゅーとかいったあたりからもーいつとばされてもおかしくないじょーたいだったんですけど,MF24output_id23_delay-1.25.mp4
15,62.16259,67.528684,攻撃を加えないといつまでたってもただこれで逃げ切るというのもおっと,対戦風景,こーげきをくわえないといつまでたってもただこれでにげきるとゆーのもおっと,MM4output_id15_delay-1.25.mp4
6,18.238235,22.539706,一気に30%ダメージを稼いだおおサムスがいいですねサムスは,対戦風景,いっきにさんじゅっぱーせんとだめーじをかせいだおーさむすがいーですねさむすわ,MM4output_id6_delay-1.0.mp4
21,141.234865,145.605124,このアシストフィギュアは結構積極的に攻撃をしてくるので,アシストフィギュア,このあしすとふぃぎゅあわけっこーせっきょくてきにこーげきをしてくるので,MF21output_id21_delay-1.0.mp4
29,116.263995,121.710516,ピーチのね必殺技横と B のねヒップアタックこれ強いですね,ファイター,ぴーちのねひっさつわざよことびーのねひっぷあたっくこれつよいですね,FF1output_id29_delay-0.75.mp4
16,120.703377,126.787576,いいですね結構やっぱり2 P は結構アイテムを活かした戦い方をされる方ですね,対戦風景,いーですねけっこーやっぱりにぴーわけっこーあいてむをいかしたたたかいかたをされるかたですね,MF22output_id16_delay-0.75.mp4
28,159.731912,162.279946,いい試合してますねお二人とも,対戦風景,いーしあいしてますねおふたりとも,MM1output_id28_delay-0.5.mp4
35,140.22573,142.763986,降りてくるところを狙ってますねはい,対戦風景,おりてくるところをねらってますねはい,FF1output_id35_delay-0.5.mp4
23,121.075162,124.108295,ここから二人どちらが先に撃墜するのか,対戦風景,ここからふたりどちらがさきにげきついするのか,MF13output_id23_delay0.0.mp4
9,32.605147,39.888971,さあ早くも30秒でドンキーコングが撃墜になってしまいましたサムスはまだダメージが40%,対戦風景,さーはやくもさんじゅーびょーでどんきーこんぐがげきついになってしまいましたさむすわまだだめーじがよんじゅっぱーせんと,MM4output_id9_delay0.0.mp4
28,111.934898,116.263995,スマッシュ攻撃当たると撃墜されてしまう可能性がありますねはい,対戦風景,すまっしゅこーげきあたるとげきついされてしまうかのーせーがありますねはい,FF1output_id28_delay0.5.mp4
11,67.162131,71.548032,これはリドリーは上手ですね立ち振る舞いがおっと真っ暗になった,対戦風景,これわりどりーわじょーずですねたちふるまいがおっとまっくらになった,MM2output_id11_delay0.5.mp4
18,125.192126,132.274045,あのまま通常のステージでしたら下に落ちてそのまま一機落とせていたと思うんですけど,対戦風景,あのままつーじょーのすてーじでしたらしたにおちてそのままいっきおとせていたとおもうんですけど,MF24output_id18_delay0.75.mp4
21,141.234865,145.605124,このアシストフィギュアは結構積極的に攻撃をしてくるので,アシストフィギュア,このあしすとふぃぎゅあわけっこーせっきょくてきにこーげきをしてくるので,MF21output_id21_delay0.75.mp4
21,154.408653,159.05411,なのでどうしても難しいですねこのまま戦局をひっくり返すのが,対戦風景,なのでどーしてもむずかしーですねこのまませんきょくをひっくりかえすのが,MF22output_id21_delay1.0.mp4
20,101.359798,106.112748,車にひかれてしまったカートに引かれて撃墜されてしまいましたね,対戦風景,くるまにひかれてしまったかーとにひかれてげきついされてしまいましたね,MF13output_id20_delay1.0.mp4
29,160.52902,165.002583,この試合はどちらですかねパックマンが勝利しましたかメタナイト勝利ですね,対戦結果,このしあいわどちらですかねぱっくまんがしょーりしましたかめたないとしょーりですね,MF14output_id29_delay1.25.mp4
3,14.642924,20.214603,さドンキーコングはねこの下 B のハンドクラップこれで相手を牽制しつつ,ファイター,さどんきーこんぐわねこのしたびーのはんどくらっぷこれであいてをけんせーしつつ,MF12output_id3_delay1.25.mp4
17,84.113021,86.955638,上Bでジャンプパンチですねいわゆる昇龍拳で,ファイター,うえびーでじゃんぷぱんちですねいわゆるしょーりゅーけんで,FF4output_id17_delay1.5.mp4
6,27.788585,33.960481,教授ですね教授出しました数字で攻撃する教授を出しましたさあこれモンスターボールが出てるモンスターボール取りたいところ,アイテム,きょーじゅですねきょーじゅだしましたすーじでこーげきするきょーじゅをだしましたさーこれもんすたーぼーるがでてるもんすたーぼーるとりたいところ,MM3output_id6_delay1.5.mp4
11,47.843202,51.983842,そこで撃墜し返したところですね今ねいちいちですね試合は,対戦風景,そこでげきついしかえしたところですねいまねいちいちですねしあいわ,FF1output_id11_delay1.75.mp4
3,16.729135,20.246944,まあカービィもネスもですね初期の64版からいるキャラクターですね,ファイター,まーかーびーもねすもですねしょきのろくよんばんからいるきゃらくたーですね,MF13output_id3_delay1.75.mp4
17,120.733929,124.872159,うまくここであでもデイジーあー時間を稼がれてしまいましたね,対戦風景,うまくここであでもでいじーあーじかんをかせがれてしまいましたね,MF24output_id17_delay-1.5.mp4
13,89.967679,96.093064,ソニック最初は優勢だったんですけどねアイテムの影響とかでちょっと今不利ですね,対戦風景,そにっくさいしょわゆーせーだったんですけどねあいてむのえーきょーとかでちょっといまふりですね,MF21output_id13_delay-1.5.mp4
10,53.891188,57.380794,そういうキャラクターですさあガオガエンの最後の切り札さあ当たりましたよ,アイテム,そーゆーきゃらくたーですさーがおがえんのさいごのきりふださーあたりましたよ,MM3output_id10_delay-1.25.mp4
33,177.434586,182.431602,やれると良かったなとドンキーコング思ってますけどいい試合でしたドンキーコングとリンク,対戦結果,やれるとよかったなとどんきーこんぐおもってますけどいーしあいでしたどんきーこんぐとりんく,MF12output_id33_delay-1.25.mp4
20,91.439558,96.336131,最後の切り札が使えますのでここで大きくね試合が動くんじゃないでしょうか,対戦風景,さいごのきりふだがつかえますのでここでおーきくねしあいがうごくんじゃないでしょーか,FF2output_id20_delay-1.0.mp4
13,54.185909,58.853538,マリオのキャラクターがファイアバー持ってるとねなんか地獄のステージ思い出しますねはい,アイテム,まりおのきゃらくたーがふぁいあばーもってるとねなんかじごくのすてーじおもいだしますねはい,FF1output_id13_delay-1.0.mp4
13,57.842747,61.523074,さーおゲッコウガが今おしてますねピカチュウが体が,対戦風景,さーおげっこーががいまおしてますねぴかちゅーがからだが,FF2output_id13_delay-0.75.mp4
34,168.37894,173.196536,さ2試合目ポケモン対決はゲッコウガの勝利今んところプレイヤーワンがですね連勝してますけれども,対戦結果,さにしあいめぽけもんたいけつわげっこーがのしょーりいまんところぷれーやーわんがですねれんしょーしてますけれども,FF2output_id34_delay-0.75.mp4
31,157.180003,160.781354,飛行機完成させて攻撃くわえたおっとこれはゲッコウガかな,対戦風景,ひこーきかんせーさせてこーげきくわえたおっとこれわげっこーがかな,FF2output_id31_delay-0.5.mp4
13,65.153839,71.777472,ええガオガエンがね今リトルマック2回目ですかねっということは今ガオガエンが有利ですかね,対戦風景,えーがおがえんがねいまりとるまっくにかいめですかねっとゆーことわいまがおがえんがゆーりですかね,MM3output_id13_delay-0.5.mp4
16,82.797415,86.361169,とにかくねかっこいいですからリンクの最後の切り札は,アイテム,とにかくねかっこいーですからりんくのさいごのきりふだわ,FF3output_id16_delay0.0.mp4
20,136.390721,139.655253,アシストフィギュアはあーピカチュウがやられてしまいましたね,対戦風景,あしすとふぃぎゅあわあーぴかちゅーがやられてしまいましたね,MF21output_id20_delay0.0.mp4
17,87.828438,91.984241,さあそれを待ち待ち構えるゼロスーツサムス,対戦風景,さーそれをまちまちかまえるぜろすーつさむす,MM1output_id17_delay0.5.mp4
7,45.957881,50.52452,ええそんなところでですねピカチュウが撃墜されてしまいました,対戦風景,ええそんなところでですねぴかちゅーがげきついされてしまいました,MM2output_id7_delay0.5.mp4
21,115.985157,122.040873,さあジェネシスのアイテムがステージに落ちています,アイテム,さーじぇねしすのあいてむがすてーじにおちています,MM1output_id21_delay0.75.mp4
13,79.455317,87.07432,まだ一回も撃墜されていないのにえー今2回ルイージを撃墜していますさあこのマリオが,対戦風景,まだいっかいもげきついされていないのにえーいまにかいるいーじをげきついしていますさーこのまりおが,MF11output_id13_delay0.75.mp4
13,66.176111,71.832918,結構ねこのステージはあのスクロールしていくのでもたもたしてると撃墜になっちゃうんですよね,対戦風景,けっこーねこのすてーじわあのすくろーるしていくのでもたもたしてるとげきついになっちゃうんですよね,FF4output_id13_delay1.0.mp4
9,61.113433,65.746962,これを取れると有利ですよおっとこれはどうぶつ森の運転手ですね,アシストフィギュア,これをとれるとゆーりですよおっとこれわどーぶつもりのうんてんしゅですね,MF21output_id9_delay1.0.mp4
13,66.515806,70.350889,クッパがですね今ダメージを稼いでいってますけれども,対戦風景,くっぱがですねいまだめーじをかせいでいってますけれども,MM1output_id13_delay1.25.mp4
32,164.686985,169.235171,いいですね決めたも何のポーズか分からないけど完全に決めた,対戦結果,いーですねきめたもなんのぽーずかわからないけどかんぜんにきめた,FF4output_id32_delay1.25.mp4
8,40.760597,43.079997,そういうような攻防ができますから,対戦風景,そーゆーよーなこーぼーができますから,MM1output_id8_delay1.5.mp4
18,97.030031,105.906944,リトルマックが撃墜したのでこれで今ごっ互角ですかねここでだからガオガエンがリトルマックを撃墜できるといいですね,対戦風景,りとるまっくがげきついしたのでこれでいまごっごかくですかねここでだからがおがえんがりとるまっくをげきついできるといーですね,MM3output_id18_delay1.5.mp4
30,163.848104,167.413543,上上上スマッシュ上スマッシュドンキー決めろ上スマッシュ,対戦風景,うえうえうえすまっしゅうえすまっしゅどんきーきめろうえすまっしゅ,MF12output_id30_delay1.75.mp4
24,156.831481,162.680142,マリオが最後にギリギリ撃墜されてない,対戦風景,まりおがさいごにぎりぎりげきついされてない,MF11output_id24_delay1.75.mp4
16,82.797415,86.361169,とにかくねかっこいいですからリンクの最後の切り札は,アイテム,とにかくねかっこいーですからりんくのさいごのきりふだわ,FF3output_id16_delay-1.5.mp4
31,160.522552,162.739792,これ圧勝じゃないすかね Wii Fit トレーナーの,対戦結果,これあっしょーじゃないすかねうぃーふぃっととれーなーの,FF4output_id31_delay-1.5.mp4
24,130.957394,135.957919,でもなんか台の上に乗ったからすぐ帰ったと思ったら帰らなかったですね,対戦風景,でもなんかだいのうえにのったからすぐかえったとおもったらかえらなかったですね,FF3output_id24_delay-1.25.mp4
10,49.368711,52.527171,さあパンチが避けられました,対戦風景,さーぱんちがよけられました,MM1output_id10_delay-1.25.mp4
4,34.483858,41.726704,もしくは横 B のあ今出ましたね凶斬りなども発生が非常に早いのでここでうまく優位に立てればいいんですけど,ファイター,もしくわよこびーのあいまでましたねきょーぎりなどもはっせーがひじょーにはやいのでここでうまくゆーいにたてればいーんですけど,MF23output_id4_delay-1.0.mp4
24,118.449688,124.372962,これビーム撃ったりなんかたしか雷鳴り出したりするんじゃなかったかなあそれはカプセルに入っている方か,アイテム,これびーむうったりなんかたしかかみなりだしたりするんじゃなかったかなあそれわかぷせるにはいっているほーか,FF2output_id24_delay-1.0.mp4
3,23.409472,34.113063,空中戦も結構戦えるんですよ攻撃自体の範囲も広いのでうまくそこで空中戦に持ち込んで相手を空中の上 A 攻撃でお手玉できたりだとか,ファイター,くーちゅーせんもけっこーたたかえるんですよこーげきじたいのはんいもひろいのでうまくそこでくーちゅーせんにもちこんであいてをくーちゅーのうええーこーげきでおてだまできたりだとか,MF23output_id3_delay-0.75.mp4
6,18.238235,22.539706,一気に30%ダメージを稼いだおおサムスがいいですねサムスは,対戦風景,いっきにさんじゅっぱーせんとだめーじをかせいだおーさむすがいーですねさむすわ,MM4output_id6_delay-0.75.mp4
31,168.304902,172.356537,リンクが決めた上 A ですねこれは,対戦風景,りんくがきめたうええーですねこれわ,MF12output_id31_delay-0.5.mp4
21,148.677648,153.178506,ここでドラグーンが当たってしまいましたね今のは結構痛いですよ,アイテム,ここでどらぐーんがあたってしまいましたねいまのわけっこーいたいですよ,MF24output_id21_delay-0.5.mp4
1,1.773943,5.199487,マスクドピカチュウにねしてますね,ファイター,ますくどぴかちゅーにねしてますね,MM2output_id1_delay0.0.mp4
13,65.153839,71.777472,ええガオガエンがね今リトルマック2回目ですかねっということは今ガオガエンが有利ですかね,対戦風景,えーがおがえんがねいまりとるまっくにかいめですかねっとゆーことわいまがおがえんがゆーりですかね,MM3output_id13_delay0.0.mp4
33,169.683462,174.123719,上 B が炸裂でカービィの勝利ですねいい試合でした,対戦結果,うえびーがさくれつでかーびーのしょーりですねいーしあいでした,MF13output_id33_delay0.5.mp4
21,81.838426,85.294304,画面にいる敵を眠らせることができまして,対戦風景,がめんにいるてきをねむらせることができまして,FF1output_id21_delay0.5.mp4
13,102.453191,105.759509,さてここでマリオがスマッシュボールを取りました,アイテム,さてここでまりおがすまっしゅぼーるをとりました,MF24output_id13_delay0.75.mp4
6,52.644131,56.60909,そこでうまくクラウドがあー吹っ飛ばされてしまいましたね,対戦風景,そこでうまくくらうどがあーふっとばされてしまいましたね,MF23output_id6_delay0.75.mp4
39,152.502604,155.270265,これいちいちの気がしますねはい,対戦風景,これいちいちのきがしますねはい,FF1output_id39_delay1.0.mp4
17,129.573638,132.965537,ただこれでイーブンかな,対戦風景,ただこれでいーぶんかな,MF23output_id17_delay1.0.mp4
13,89.967679,96.093064,ソニック最初は優勢だったんですけどねアイテムの影響とかでちょっと今不利ですね,対戦風景,そにっくさいしょわゆーせーだったんですけどねあいてむのえーきょーとかでちょっといまふりですね,MF21output_id13_delay1.25.mp4
20,109.497981,115.720426,ダメージが70%たまっているのですぐ撃墜におっと言っている側から撃墜になってしまったこれはクッパ有利ですね,対戦風景,だめーじがななじゅっぱーせんとたまっているのですぐげきついにおっとゆっているそばからげきついになってしまったこれわくっぱゆーりですね,MM1output_id20_delay1.25.mp4
7,45.957881,50.52452,ええそんなところでですねピカチュウが撃墜されてしまいました,対戦風景,ええそんなところでですねぴかちゅーがげきついされてしまいました,MM2output_id7_delay1.5.mp4
17,120.733929,124.872159,うまくここであでもデイジーあー時間を稼がれてしまいましたね,対戦風景,うまくここであでもでいじーあーじかんをかせがれてしまいましたね,MF24output_id17_delay1.5.mp4
15,77.735774,82.819212,さあダメージが溜まっているクッパをサムスがおここで撃墜して行きたいところですがクッパも,対戦風景,さーだめーじがたまっているくっぱをさむすがおここでげきついしていきたいところですがくっぱも,MM1output_id15_delay1.75.mp4
22,103.349287,110.473012,逆に使わない逆に使わないことによって牽制をするというこれねあんまり持ってるとね殴られたらあのおっと外したな,対戦風景,ぎゃくにつかわないぎゃくにつかわないことによってけんせーをするとゆーこれねあんまりもってるとねなぐられたらあのおっとはずしたな,FF2output_id22_delay1.75.mp4
33,164.588045,167.99985,素晴らしいです影分身で決めたゲッコウガですねいいですね,対戦風景,すばらしーですかげぶんしんできめたげっこーがですねいーですね,FF2output_id33_delay-1.5.mp4
14,99.664974,107.197792,Wii Fit トレーナーが結構こういった剣みたいなまこれの前はファイヤーバーですけど取っていくってのは結構実は大事なことで,アイテム,うぃーふぃっととれーなーがけっこーこーいったけんみたいなまこれのまえわふぁいやーばーですけどとっていくってのわけっこーじつわだいじなことで,MF22output_id14_delay-1.5.mp4
33,131.796941,136.503446,爆弾爆発しましたおどっちもダメージが増えてきましたまたファイアバー,アイテム,ばくだんばくはつしましたおどっちもだめーじがふえてきましたまたふぁいあばー,FF1output_id33_delay-1.25.mp4
26,144.113704,148.029607,まだ居るこれね強いっすねフォックスも吹っ飛ばされました,対戦風景,まだいるこれねつよいっすねふぉっくすもふっとばされました,FF3output_id26_delay-1.25.mp4
40,155.729076,158.874146,これはサドンデスになるんじゃないでしょうか,対戦風景,これわさどんですになるんじゃないでしょーか,FF1output_id40_delay-1.0.mp4
19,132.679336,140.571836,あぁやってデイジーはですね先ほど出たピーチもそうなんですけど空中で上を押し続けると空中に浮遊できるという特性を持っているんですね,ファイター,あーやってでいじーわですねさきほどでたぴーちもそーなんですけどくーちゅーでうえをおしつづけるとくーちゅーにふゆーできるとゆーとくせーをもっているんですね,MF24output_id19_delay-1.0.mp4
16,88.137323,93.00225,さ延髄斬りが横スマッシュの延髄斬りがヒットしたところで,対戦風景,さえんずいぎりがよこすまっしゅのえんずいぎりがひっとしたところで,MM3output_id16_delay-0.75.mp4
11,67.162131,71.548032,これはリドリーは上手ですね立ち振る舞いがおっと真っ暗になった,対戦風景,これわりどりーわじょーずですねたちふるまいがおっとまっくらになった,MM2output_id11_delay-0.75.mp4
27,159.54031,163.015508,これでサドンデスですねさあ,対戦風景,これでさどんですですねさー,MM3output_id27_delay-0.5.mp4
19,87.649252,92.311446,ドンキーコングは何とか無理矢理にでも撃墜をね狙ってきたいところですね,対戦風景,どんきーこんぐわなんとかむりやりにでもげきついをねねらってきたいところですね,MM4output_id19_delay-0.5.mp4
22,109.966618,111.743253,おー魔球投げましたねーちゃんと,アイテム,おーまきゅーなげましたねーちゃんと,FF4output_id22_delay0.0.mp4
7,33.927312,38.648993,そこをやっぱうまくカバーして戦いたいところですねカービィは,ファイター,そこをやっぱうまくかばーしてたたかいたいところですねかーびーわ,MF13output_id7_delay0.0.mp4
6,38.233459,45.957881,もうあれですね圧倒しているような状況ではあるんですけれどもピカチュウもですねスピードを活かして逆転して行きたい所,対戦風景,もーあれですねあっとーしているよーなじょーきょーでわあるんですけれどもぴかちゅーもですねすぴーどをいかしてぎゃくてんしていきたいところ,MM2output_id6_delay0.5.mp4
